loss,accuracy
240.25189208984375,30680.46875
239.99908447265625,30637.451171875
239.52322387695312,30594.80078125
239.29420471191406,30552.04296875
239.1352081298828,30509.666015625
238.58804321289062,30467.5625
238.41641235351562,30425.333984375
238.08338928222656,30383.27734375
237.71739196777344,30341.41796875
237.3656463623047,30299.8671875
237.11331176757812,30258.3515625
236.67434692382812,30216.30859375
236.3230438232422,30174.875
236.09091186523438,30133.998046875
235.78701782226562,30092.986328125
235.3308563232422,30051.986328125
235.05612182617188,30010.9765625
234.7201690673828,29970.240234375
234.41311645507812,29929.376953125
234.06927490234375,29888.2421875
233.79345703125,29846.716796875
233.50418090820312,29805.603515625
233.11036682128906,29764.544921875
232.89414978027344,29723.177734375
232.55789184570312,29681.599609375
232.13299560546875,29639.818359375
231.89987182617188,29598.048828125
231.5302276611328,29555.810546875
231.284912109375,29513.720703125
230.8174591064453,29471.48828125
230.54579162597656,29429.31640625
230.2590789794922,29387.783203125
229.8731231689453,29346.845703125
229.56912231445312,29306.1171875
229.22406005859375,29265.490234375
228.9462432861328,29224.494140625
228.64598083496094,29183.5625
228.3073272705078,29142.75390625
227.9208984375,29102.021484375
227.54954528808594,29061.2578125
227.3126678466797,29020.775390625
226.99835205078125,28980.5703125
226.68487548828125,28940.494140625
226.46942138671875,28900.544921875
226.06723022460938,28860.431640625
225.76080322265625,28820.240234375
225.36273193359375,28780.333984375
225.1282196044922,28740.416015625
224.78868103027344,28700.107421875
224.48402404785156,28659.623046875
224.14959716796875,28619.220703125
223.92640686035156,28579.125
